home_team,away_team,home_team_goals,away_team_goals,winner,loser,venue,league,year,date
Arsenal,Chelsea,3,0,Arsenal,Chelsea,"Emirates Stadium, London",1,2016/17,2016-09-24
Watford,Man Utd,3,1,Watford,Man Utd,"Vicarage Road, Watford",1,2016/17,2016-09-18
Crystal Palace,Stoke,4,1,Crystal Palace,Stoke,"Selhurst Park, London",1,2016/17,2016-09-18
Southampton,Swansea,1,0,Southampton,Swansea,"St. Mary's Stadium, Southampton",1,2016/17,2016-09-18
Spurs,Sunderland,1,0,Spurs,Sunderland,"White Hart Lane, London",1,2016/17,2016-09-18
Hull,Arsenal,1,4,Arsenal,Hull,"MKM Stadium, Hull",1,2016/17,2016-09-17
Leicester,Burnley,3,0,Leicester,Burnley,"King Power Stadium, Leicester",1,2016/17,2016-09-17
Man City,Bournemouth,4,0,Man City,Bournemouth,"Etihad Stadium, Manchester",1,2016/17,2016-09-17
West Brom,West Ham,4,2,West Brom,West Ham,"The Hawthorns, West Bromwich",1,2016/17,2016-09-17
Everton,Middlesbrough,3,1,Everton,Middlesbrough,"Goodison Park, Liverpool",1,2016/17,2016-09-17
Chelsea,Liverpool,1,2,Liverpool,Chelsea,"Stamford Bridge, London",1,2016/17,2016-09-16
Sunderland,Everton,0,3,Everton,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2016-09-12
Swansea,Chelsea,2,2,draw,draw,"Liberty Stadium, Swansea",1,2016/17,2016-09-11
Man Utd,Man City,1,2,Man City,Man Utd,"Old Trafford, Manchester",1,2016/17,2016-09-10
Arsenal,Southampton,2,1,Arsenal,Southampton,"Emirates Stadium, London",1,2016/17,2016-09-10
Bournemouth,West Brom,1,0,Bournemouth,West Brom,"Vitality Stadium, Bournemouth",1,2016/17,2016-09-10
Burnley,Hull,1,1,draw,draw,"Turf Moor, Burnley",1,2016/17,2016-09-10
Middlesbrough,Crystal Palace,1,2,Crystal Palace,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2016/17,2016-09-10
Stoke,Spurs,0,4,Spurs,Stoke,"bet365 Stadium, Stoke",1,2016/17,2016-09-10
West Ham,Watford,2,4,Watford,West Ham,"London Stadium, London",1,2016/17,2016-09-10
Liverpool,Leicester,4,1,Liverpool,Leicester,"Anfield, Liverpool",1,2016/17,2016-09-10
West Brom,Middlesbrough,0,0,draw,draw,"The Hawthorns, West Bromwich",1,2016/17,2016-08-28
Man City,West Ham,3,1,Man City,West Ham,"Etihad Stadium, Manchester",1,2016/17,2016-08-28
Spurs,Liverpool,1,1,draw,draw,"White Hart Lane, London",1,2016/17,2016-08-27
Chelsea,Burnley,3,0,Chelsea,Burnley,"Stamford Bridge, London",1,2016/17,2016-08-27
Crystal Palace,Bournemouth,1,1,draw,draw,"Selhurst Park, London",1,2016/17,2016-08-27
Everton,Stoke,1,0,Everton,Stoke,"Goodison Park, Liverpool",1,2016/17,2016-08-27
Leicester,Swansea,2,1,Leicester,Swansea,"King Power Stadium, Leicester",1,2016/17,2016-08-27
Southampton,Sunderland,1,1,draw,draw,"St. Mary's Stadium, Southampton",1,2016/17,2016-08-27
Watford,Arsenal,1,3,Arsenal,Watford,"Vicarage Road, Watford",1,2016/17,2016-08-27
Hull,Man Utd,0,1,Man Utd,Hull,"MKM Stadium, Hull",1,2016/17,2016-08-27
Sunderland,Middlesbrough,1,2,Middlesbrough,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2016-08-21
West Ham,Bournemouth,1,0,West Ham,Bournemouth,"London Stadium, London",1,2016/17,2016-08-21
Stoke,Man City,1,4,Man City,Stoke,"bet365 Stadium, Stoke",1,2016/17,2016-08-20
Burnley,Liverpool,2,0,Burnley,Liverpool,"Turf Moor, Burnley",1,2016/17,2016-08-20
Swansea,Hull,0,2,Hull,Swansea,"Liberty Stadium, Swansea",1,2016/17,2016-08-20
Spurs,Crystal Palace,1,0,Spurs,Crystal Palace,"White Hart Lane, London",1,2016/17,2016-08-20
Watford,Chelsea,1,2,Chelsea,Watford,"Vicarage Road, Watford",1,2016/17,2016-08-20
West Brom,Everton,1,2,Everton,West Brom,"The Hawthorns, West Bromwich",1,2016/17,2016-08-20
Leicester,Arsenal,0,0,draw,draw,"King Power Stadium, Leicester",1,2016/17,2016-08-20
Man Utd,Southampton,2,0,Man Utd,Southampton,"Old Trafford, Manchester",1,2016/17,2016-08-19
Chelsea,West Ham,2,1,Chelsea,West Ham,"Stamford Bridge, London",1,2016/17,2016-08-15
Bournemouth,Man Utd,1,3,Man Utd,Bournemouth,"Vitality Stadium, Bournemouth",1,2016/17,2016-08-14
Arsenal,Liverpool,3,4,Liverpool,Arsenal,"Emirates Stadium, London",1,2016/17,2016-08-14
Hull,Leicester,2,1,Hull,Leicester,"MKM Stadium, Hull",1,2016/17,2016-08-13
Burnley,Swansea,0,1,Swansea,Burnley,"Turf Moor, Burnley",1,2016/17,2016-08-13
Crystal Palace,West Brom,0,1,West Brom,Crystal Palace,"Selhurst Park, London",1,2016/17,2016-08-13
Everton,Spurs,1,1,draw,draw,"Goodison Park, Liverpool",1,2016/17,2016-08-13
Middlesbrough,Stoke,1,1,draw,draw,"Riverside Stadium, Middlesbrough",1,2016/17,2016-08-13
Southampton,Watford,1,1,draw,draw,"St. Mary's Stadium, Southampton",1,2016/17,2016-08-13
Man City,Sunderland,2,1,Man City,Sunderland,"Etihad Stadium, Manchester",1,2016/17,2016-08-13
Arsenal,Aston Villa,4,0,Arsenal,Aston Villa,"Emirates Stadium, London",1,2015/16,2016-05-15
Aston Villa,Newcastle,0,0,draw,draw,"Villa Park, Birmingham",1,2015/16,2016-05-07
Watford,Aston Villa,3,2,Watford,Aston Villa,"Vicarage Road, Watford",1,2015/16,2016-04-30
Aston Villa,Southampton,2,4,Southampton,Aston Villa,"Villa Park, Birmingham",1,2015/16,2016-04-23
Man Utd,Aston Villa,1,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2015/16,2016-04-16
Aston Villa,Bournemouth,1,2,Bournemouth,Aston Villa,"Villa Park, Birmingham",1,2015/16,2016-04-09
Aston Villa,Chelsea,0,4,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2015/16,2016-04-02
Swansea,Aston Villa,1,0,Swansea,Aston Villa,"Liberty Stadium, Swansea",1,2015/16,2016-03-19
Aston Villa,Spurs,0,2,Spurs,Aston Villa,"Villa Park, Birmingham",1,2015/16,2016-03-13
Man City,Aston Villa,4,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2015/16,2016-03-05
Aston Villa,Everton,1,3,Everton,Aston Villa,"Villa Park, Birmingham",1,2015/16,2016-03-01
Stoke,Aston Villa,2,1,Stoke,Aston Villa,"bet365 Stadium, Stoke",1,2015/16,2016-02-27
Aston Villa,Liverpool,0,6,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2015/16,2016-02-14
Aston Villa,Norwich,2,0,Aston Villa,Norwich,"Villa Park, Birmingham",1,2015/16,2016-02-06
West Ham,Aston Villa,2,0,West Ham,Aston Villa,"Boleyn Ground, London",1,2015/16,2016-02-02
West Brom,Aston Villa,0,0,draw,draw,"The Hawthorns, West Bromwich",1,2015/16,2016-01-23
Aston Villa,Leicester,1,1,draw,draw,"Villa Park, Birmingham",1,2015/16,2016-01-16
Aston Villa,Crystal Palace,1,0,Aston Villa,Crystal Palace,"Villa Park, Birmingham",1,2015/16,2016-01-12
Sunderland,Aston Villa,3,1,Sunderland,Aston Villa,"Stadium of Light, Sunderland",1,2015/16,2016-01-02
Norwich,Aston Villa,2,0,Norwich,Aston Villa,"Carrow Road, Norwich",1,2015/16,2015-12-28
Aston Villa,West Ham,1,1,draw,draw,"Villa Park, Birmingham",1,2015/16,2015-12-26
Newcastle,Aston Villa,1,1,draw,draw,"St. James' Park, Newcastle",1,2015/16,2015-12-19
Aston Villa,Arsenal,0,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2015/16,2015-12-13
Southampton,Aston Villa,1,1,draw,draw,"St. Mary's Stadium, Southampton",1,2015/16,2015-12-05
Aston Villa,Watford,2,3,Watford,Aston Villa,"Villa Park, Birmingham",1,2015/16,2015-11-28
Everton,Aston Villa,4,0,Everton,Aston Villa,"Goodison Park, Liverpool",1,2015/16,2015-11-21
Aston Villa,Man City,0,0,draw,draw,"Villa Park, Birmingham",1,2015/16,2015-11-08
Spurs,Aston Villa,3,1,Spurs,Aston Villa,"White Hart Lane, London",1,2015/16,2015-11-02
Aston Villa,Swansea,1,2,Swansea,Aston Villa,"Villa Park, Birmingham",1,2015/16,2015-10-24
Chelsea,Aston Villa,2,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2015/16,2015-10-17
Aston Villa,Stoke,0,1,Stoke,Aston Villa,"Villa Park, Birmingham",1,2015/16,2015-10-03
Liverpool,Aston Villa,3,2,Liverpool,Aston Villa,"Anfield, Liverpool",1,2015/16,2015-09-26
Aston Villa,West Brom,0,1,West Brom,Aston Villa,"Villa Park, Birmingham",1,2015/16,2015-09-19
Leicester,Aston Villa,3,2,Leicester,Aston Villa,"King Power Stadium, Leicester",1,2015/16,2015-09-13
Aston Villa,Sunderland,2,2,draw,draw,"Villa Park, Birmingham",1,2015/16,2015-08-29
Crystal Palace,Aston Villa,2,1,Crystal Palace,Aston Villa,"Selhurst Park, London",1,2015/16,2015-08-22
Aston Villa,Man Utd,0,1,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2015/16,2015-08-14
Bournemouth,Aston Villa,0,1,Aston Villa,Bournemouth,"Goldsands Stadium, Bournemouth",1,2015/16,2015-08-08
Aston Villa,Burnley,0,1,Burnley,Aston Villa,"Villa Park, Birmingham",1,2014/15,2015-05-24
Southampton,Aston Villa,6,1,Southampton,Aston Villa,"St. Mary's Stadium, Southampton",1,2014/15,2015-05-16
Aston Villa,West Ham,1,0,Aston Villa,West Ham,"Villa Park, Birmingham",1,2014/15,2015-05-09
Aston Villa,Everton,3,2,Aston Villa,Everton,"Villa Park, Birmingham",1,2014/15,2015-05-02
Man City,Aston Villa,3,2,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2014/15,2015-04-25
Spurs,Aston Villa,0,1,Aston Villa,Spurs,"White Hart Lane, London",1,2014/15,2015-04-11
Aston Villa,QPR,3,3,draw,draw,"Villa Park, Birmingham",1,2014/15,2015-04-07
Man Utd,Aston Villa,3,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2014/15,2015-04-04
Aston Villa,Swansea,0,1,Swansea,Aston Villa,"Villa Park, Birmingham",1,2014/15,2015-03-21
Sunderland,Aston Villa,0,4,Aston Villa,Sunderland,"Stadium of Light, Sunderland",1,2014/15,2015-03-14
Aston Villa,West Brom,2,1,Aston Villa,West Brom,"Villa Park, Birmingham",1,2014/15,2015-03-03
Newcastle,Aston Villa,1,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,2014/15,2015-02-28
Aston Villa,Stoke,1,2,Stoke,Aston Villa,"Villa Park, Birmingham",1,2014/15,2015-02-21
Hull,Aston Villa,2,0,Hull,Aston Villa,"KCOM Stadium, Hull",1,2014/15,2015-02-10
Aston Villa,Chelsea,1,2,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2014/15,2015-02-07
Arsenal,Aston Villa,5,0,Arsenal,Aston Villa,"Emirates Stadium, London",1,2014/15,2015-02-01
Aston Villa,Liverpool,0,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2014/15,2015-01-17
Leicester,Aston Villa,1,0,Leicester,Aston Villa,"King Power Stadium, Leicester",1,2014/15,2015-01-10
Aston Villa,Crystal Palace,0,0,draw,draw,"Villa Park, Birmingham",1,2014/15,2015-01-01
Aston Villa,Sunderland,0,0,draw,draw,"Villa Park, Birmingham",1,2014/15,2014-12-28
Swansea,Aston Villa,1,0,Swansea,Aston Villa,"Liberty Stadium, Swansea",1,2014/15,2014-12-26
Aston Villa,Man Utd,1,1,draw,draw,"Villa Park, Birmingham",1,2014/15,2014-12-20
West Brom,Aston Villa,1,0,West Brom,Aston Villa,"The Hawthorns, West Bromwich",1,2014/15,2014-12-13
Aston Villa,Leicester,2,1,Aston Villa,Leicester,"Villa Park, Birmingham",1,2014/15,2014-12-07
Crystal Palace,Aston Villa,0,1,Aston Villa,Crystal Palace,"Selhurst Park, London",1,2014/15,2014-12-02
Burnley,Aston Villa,1,1,draw,draw,"Turf Moor, Burnley",1,2014/15,2014-11-29
Aston Villa,Southampton,1,1,draw,draw,"Villa Park, Birmingham",1,2014/15,2014-11-24
West Ham,Aston Villa,0,0,draw,draw,"Boleyn Ground, London",1,2014/15,2014-11-08
Aston Villa,Spurs,1,2,Spurs,Aston Villa,"Villa Park, Birmingham",1,2014/15,2014-11-02
QPR,Aston Villa,2,0,QPR,Aston Villa,"Loftus Road, London",1,2014/15,2014-10-27
Everton,Aston Villa,3,0,Everton,Aston Villa,"Goodison Park, Liverpool",1,2014/15,2014-10-18
Aston Villa,Man City,0,2,Man City,Aston Villa,"Villa Park, Birmingham",1,2014/15,2014-10-04
Chelsea,Aston Villa,3,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2014/15,2014-09-27
Aston Villa,Arsenal,0,3,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2014/15,2014-09-20
Liverpool,Aston Villa,0,1,Aston Villa,Liverpool,"Anfield, Liverpool",1,2014/15,2014-09-13
Aston Villa,Hull,2,1,Aston Villa,Hull,"Villa Park, Birmingham",1,2014/15,2014-08-31
Aston Villa,Newcastle,0,0,draw,draw,"Villa Park, Birmingham",1,2014/15,2014-08-23
Stoke,Aston Villa,0,1,Aston Villa,Stoke,"bet365 Stadium, Stoke",1,2014/15,2014-08-16
Spurs,Aston Villa,3,0,Spurs,Aston Villa,"White Hart Lane, London",1,2013/14,2014-05-11
Man City,Aston Villa,4,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2013/14,2014-05-07
Aston Villa,Hull,3,1,Aston Villa,Hull,"Villa Park, Birmingham",1,2013/14,2014-05-03
Swansea,Aston Villa,4,1,Swansea,Aston Villa,"Liberty Stadium, Swansea",1,2013/14,2014-04-26
Aston Villa,Southampton,0,0,draw,draw,"Villa Park, Birmingham",1,2013/14,2014-04-19
Crystal Palace,Aston Villa,1,0,Crystal Palace,Aston Villa,"Selhurst Park, London",1,2013/14,2014-04-12
Aston Villa,Fulham,1,2,Fulham,Aston Villa,"Villa Park, Birmingham",1,2013/14,2014-04-05
Man Utd,Aston Villa,4,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2013/14,2014-03-29
Aston Villa,Stoke,1,4,Stoke,Aston Villa,"Villa Park, Birmingham",1,2013/14,2014-03-23
Aston Villa,Chelsea,1,0,Aston Villa,Chelsea,"Villa Park, Birmingham",1,2013/14,2014-03-15
Aston Villa,Norwich,4,1,Aston Villa,Norwich,"Villa Park, Birmingham",1,2013/14,2014-03-02
Newcastle,Aston Villa,1,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,2013/14,2014-02-23
Cardiff,Aston Villa,0,0,draw,draw,"Cardiff City Stadium, Cardiff",1,2013/14,2014-02-11
Aston Villa,West Ham,0,2,West Ham,Aston Villa,"Villa Park, Birmingham",1,2013/14,2014-02-08
Everton,Aston Villa,2,1,Everton,Aston Villa,"Goodison Park, Liverpool",1,2013/14,2014-02-01
Aston Villa,West Brom,4,3,Aston Villa,West Brom,"Villa Park, Birmingham",1,2013/14,2014-01-29
Liverpool,Aston Villa,2,2,draw,draw,"Anfield, Liverpool",1,2013/14,2014-01-18
Aston Villa,Arsenal,1,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2013/14,2014-01-13
Sunderland,Aston Villa,0,1,Aston Villa,Sunderland,"Stadium of Light, Sunderland",1,2013/14,2014-01-01
Aston Villa,Swansea,1,1,draw,draw,"Villa Park, Birmingham",1,2013/14,2013-12-28
Aston Villa,Crystal Palace,0,1,Crystal Palace,Aston Villa,"Villa Park, Birmingham",1,2013/14,2013-12-26
Stoke,Aston Villa,2,1,Stoke,Aston Villa,"Britannia Stadium, Stoke",1,2013/14,2013-12-21
Aston Villa,Man Utd,0,3,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2013/14,2013-12-15
Fulham,Aston Villa,2,0,Fulham,Aston Villa,"Craven Cottage, London",1,2013/14,2013-12-08
Southampton,Aston Villa,2,3,Aston Villa,Southampton,"St. Mary's Stadium, Southampton",1,2013/14,2013-12-04
Aston Villa,Sunderland,0,0,draw,draw,"Villa Park, Birmingham",1,2013/14,2013-11-30
West Brom,Aston Villa,2,2,draw,draw,"The Hawthorns, West Bromwich",1,2013/14,2013-11-25
Aston Villa,Cardiff,2,0,Aston Villa,Cardiff,"Villa Park, Birmingham",1,2013/14,2013-11-09
West Ham,Aston Villa,0,0,draw,draw,"Boleyn Ground, London",1,2013/14,2013-11-02
Aston Villa,Everton,0,2,Everton,Aston Villa,"Villa Park, Birmingham",1,2013/14,2013-10-26
Aston Villa,Spurs,0,2,Spurs,Aston Villa,"Villa Park, Birmingham",1,2013/14,2013-10-20
Hull,Aston Villa,0,0,draw,draw,"MKM Stadium, Hull",1,2013/14,2013-10-05
Aston Villa,Man City,3,2,Aston Villa,Man City,"Villa Park, Birmingham",1,2013/14,2013-09-28
Norwich,Aston Villa,0,1,Aston Villa,Norwich,"Carrow Road, Norwich",1,2013/14,2013-09-21
Aston Villa,Newcastle,1,2,Newcastle,Aston Villa,"Villa Park, Birmingham",1,2013/14,2013-09-14
Aston Villa,Liverpool,0,1,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2013/14,2013-08-24
Chelsea,Aston Villa,2,1,Chelsea,Aston Villa,"Stamford Bridge, London",1,2013/14,2013-08-21
Arsenal,Aston Villa,1,3,Aston Villa,Arsenal,"Emirates Stadium, London",1,2013/14,2013-08-17
Wigan,Aston Villa,2,2,draw,draw,"DW Stadium, Wigan",1,2012/13,2013-05-19
Aston Villa,Chelsea,1,2,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2012/13,2013-05-11
Norwich,Aston Villa,1,2,Aston Villa,Norwich,"Carrow Road, Norwich",1,2012/13,2013-05-04
Aston Villa,Sunderland,6,1,Aston Villa,Sunderland,"Villa Park, Birmingham",1,2012/13,2013-04-29
Man Utd,Aston Villa,3,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2012/13,2013-04-22
Aston Villa,Fulham,1,1,draw,draw,"Villa Park, Birmingham",1,2012/13,2013-04-13
Stoke,Aston Villa,1,3,Aston Villa,Stoke,"Britannia Stadium, Stoke",1,2012/13,2013-04-06
Aston Villa,Liverpool,1,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2012/13,2013-03-31
Aston Villa,QPR,3,2,Aston Villa,QPR,"Villa Park, Birmingham",1,2012/13,2013-03-16
Reading,Aston Villa,1,2,Aston Villa,Reading,"Madejski Stadium, Reading",1,2012/13,2013-03-09
Aston Villa,Man City,0,1,Man City,Aston Villa,"Villa Park, Birmingham",1,2012/13,2013-03-04
Arsenal,Aston Villa,2,1,Arsenal,Aston Villa,"Emirates Stadium, London",1,2012/13,2013-02-23
Aston Villa,West Ham,2,1,Aston Villa,West Ham,"Villa Park, Birmingham",1,2012/13,2013-02-10
Everton,Aston Villa,3,3,draw,draw,"Goodison Park, Liverpool",1,2012/13,2013-02-02
Aston Villa,Newcastle,1,2,Newcastle,Aston Villa,"Villa Park, Birmingham",1,2012/13,2013-01-29
West Brom,Aston Villa,2,2,draw,draw,"The Hawthorns, West Bromwich",1,2012/13,2013-01-19
Aston Villa,Southampton,0,1,Southampton,Aston Villa,"Villa Park, Birmingham",1,2012/13,2013-01-12
Swansea,Aston Villa,2,2,draw,draw,"Swansea.com Stadium, Swansea",1,2012/13,2013-01-01
Aston Villa,Wigan,0,3,Wigan,Aston Villa,"Villa Park, Birmingham",1,2012/13,2012-12-29
Aston Villa,Spurs,0,4,Spurs,Aston Villa,"Villa Park, Birmingham",1,2012/13,2012-12-26
Chelsea,Aston Villa,8,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2012/13,2012-12-23
Liverpool,Aston Villa,1,3,Aston Villa,Liverpool,"Anfield, Liverpool",1,2012/13,2012-12-15
Aston Villa,Stoke,0,0,draw,draw,"Villa Park, Birmingham",1,2012/13,2012-12-08
QPR,Aston Villa,1,1,draw,draw,"Kiyan Prince Foundation Stadium, London",1,2012/13,2012-12-01
Aston Villa,Reading,1,0,Aston Villa,Reading,"Villa Park, Birmingham",1,2012/13,2012-11-27
Aston Villa,Arsenal,0,0,draw,draw,"Villa Park, Birmingham",1,2012/13,2012-11-24
Man City,Aston Villa,5,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2012/13,2012-11-17
Aston Villa,Man Utd,2,3,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2012/13,2012-11-10
Sunderland,Aston Villa,0,1,Aston Villa,Sunderland,"Stadium of Light, Sunderland",1,2012/13,2012-11-03
Aston Villa,Norwich,1,1,draw,draw,"Villa Park, Birmingham",1,2012/13,2012-10-27
Fulham,Aston Villa,1,0,Fulham,Aston Villa,"Craven Cottage, London",1,2012/13,2012-10-20
Spurs,Aston Villa,2,0,Spurs,Aston Villa,"White Hart Lane, London",1,2012/13,2012-10-07
Aston Villa,West Brom,1,1,draw,draw,"Villa Park, Birmingham",1,2012/13,2012-09-30
Southampton,Aston Villa,4,1,Southampton,Aston Villa,"The Friends Provident St Mary's Stadium, Southampton",1,2012/13,2012-09-22
Aston Villa,Swansea,2,0,Aston Villa,Swansea,"Villa Park, Birmingham",1,2012/13,2012-09-15
Newcastle,Aston Villa,1,1,draw,draw,"St James' Park, Newcastle",1,2012/13,2012-09-02
Aston Villa,Everton,1,3,Everton,Aston Villa,"Villa Park, Birmingham",1,2012/13,2012-08-25
West Ham,Aston Villa,1,0,West Ham,Aston Villa,"Boleyn Ground, London",1,2012/13,2012-08-18
Norwich,Aston Villa,2,0,Norwich,Aston Villa,"Carrow Road, Norwich",1,2011/12,2012-05-13
Aston Villa,Spurs,1,1,draw,draw,"Villa Park, Birmingham",1,2011/12,2012-05-06
West Brom,Aston Villa,0,0,draw,draw,"The Hawthorns, West Bromwich",1,2011/12,2012-04-28
Aston Villa,Bolton,1,2,Bolton,Aston Villa,"Villa Park, Birmingham",1,2011/12,2012-04-24
Aston Villa,Sunderland,0,0,draw,draw,"Villa Park, Birmingham",1,2011/12,2012-04-21
Man Utd,Aston Villa,4,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2011/12,2012-04-15
Aston Villa,Stoke,1,1,draw,draw,"Villa Park, Birmingham",1,2011/12,2012-04-09
Liverpool,Aston Villa,1,1,draw,draw,"Anfield, Liverpool",1,2011/12,2012-04-07
Aston Villa,Chelsea,2,4,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2011/12,2012-03-31
Arsenal,Aston Villa,3,0,Arsenal,Aston Villa,"Emirates Stadium, London",1,2011/12,2012-03-24
Aston Villa,Fulham,1,0,Aston Villa,Fulham,"Villa Park, Birmingham",1,2011/12,2012-03-10
Blackburn,Aston Villa,1,1,draw,draw,"Ewood Park, Blackburn",1,2011/12,2012-03-03
Wigan,Aston Villa,0,0,draw,draw,"DW Stadium, Wigan",1,2011/12,2012-02-25
Aston Villa,Man City,0,1,Man City,Aston Villa,"Villa Park, Birmingham",1,2011/12,2012-02-12
Newcastle,Aston Villa,2,1,Newcastle,Aston Villa,"St James' Park, Newcastle",1,2011/12,2012-02-05
Aston Villa,QPR,2,2,draw,draw,"Villa Park, Birmingham",1,2011/12,2012-02-01
Wolves,Aston Villa,2,3,Aston Villa,Wolves,"Molineux Stadium, Wolverhampton",1,2011/12,2012-01-21
Aston Villa,Everton,1,1,draw,draw,"Villa Park, Birmingham",1,2011/12,2012-01-14
Aston Villa,Swansea,0,2,Swansea,Aston Villa,"Villa Park, Birmingham",1,2011/12,2012-01-02
Chelsea,Aston Villa,1,3,Aston Villa,Chelsea,"Stamford Bridge, London",1,2011/12,2011-12-31
Stoke,Aston Villa,0,0,draw,draw,"bet365 Stadium, Stoke",1,2011/12,2011-12-26
Aston Villa,Arsenal,1,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2011/12,2011-12-21
Aston Villa,Liverpool,0,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2011/12,2011-12-18
Bolton,Aston Villa,1,2,Aston Villa,Bolton,"Toughsheet Community Stadium, Bolton",1,2011/12,2011-12-10
Aston Villa,Man Utd,0,1,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2011/12,2011-12-03
Swansea,Aston Villa,0,0,draw,draw,"Liberty Stadium, Swansea",1,2011/12,2011-11-27
Spurs,Aston Villa,2,0,Spurs,Aston Villa,"White Hart Lane, London",1,2011/12,2011-11-21
Aston Villa,Norwich,3,2,Aston Villa,Norwich,"Villa Park, Birmingham",1,2011/12,2011-11-05
Sunderland,Aston Villa,2,2,draw,draw,"Stadium of Light, Sunderland",1,2011/12,2011-10-29
Aston Villa,West Brom,1,2,West Brom,Aston Villa,"Villa Park, Birmingham",1,2011/12,2011-10-22
Man City,Aston Villa,4,1,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2011/12,2011-10-15
Aston Villa,Wigan,2,0,Aston Villa,Wigan,"Villa Park, Birmingham",1,2011/12,2011-10-01
QPR,Aston Villa,1,1,draw,draw,"Kiyan Prince Foundation Stadium, London",1,2011/12,2011-09-25
Aston Villa,Newcastle,1,1,draw,draw,"Villa Park, Birmingham",1,2011/12,2011-09-17
Everton,Aston Villa,2,2,draw,draw,"Goodison Park, Liverpool",1,2011/12,2011-09-10
Aston Villa,Wolves,0,0,draw,draw,"Villa Park, Birmingham",1,2011/12,2011-08-27
Aston Villa,Blackburn,3,1,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2011/12,2011-08-20
Fulham,Aston Villa,0,0,draw,draw,"Craven Cottage, London",1,2011/12,2011-08-13
Aston Villa,Liverpool,1,0,Aston Villa,Liverpool,"Villa Park, Birmingham",1,2010/11,2011-05-22
Arsenal,Aston Villa,1,2,Aston Villa,Arsenal,"Emirates Stadium, London",1,2010/11,2011-05-15
Aston Villa,Wigan,1,1,draw,draw,"Villa Park, Birmingham",1,2010/11,2011-05-07
West Brom,Aston Villa,2,1,West Brom,Aston Villa,"The Hawthorns, West Bromwich",1,2010/11,2011-04-30
Aston Villa,Stoke,1,1,draw,draw,"Villa Park, Birmingham",1,2010/11,2011-04-23
West Ham,Aston Villa,1,2,Aston Villa,West Ham,"Boleyn Ground, London",1,2010/11,2011-04-16
Aston Villa,Newcastle,1,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2010/11,2011-04-10
Everton,Aston Villa,2,2,draw,draw,"Goodison Park, Liverpool",1,2010/11,2011-04-02
Aston Villa,Wolves,0,1,Wolves,Aston Villa,"Villa Park, Birmingham",1,2010/11,2011-03-19
Bolton,Aston Villa,3,2,Bolton,Aston Villa,"Macron Stadium, Bolton",1,2010/11,2011-03-05
Aston Villa,Blackburn,4,1,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2010/11,2011-02-26
Blackpool,Aston Villa,1,1,draw,draw,"Bloomfield Road, Blackpool",1,2010/11,2011-02-12
Aston Villa,Fulham,2,2,draw,draw,"Villa Park, Birmingham",1,2010/11,2011-02-05
Man Utd,Aston Villa,3,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2010/11,2011-02-01
Wigan,Aston Villa,1,2,Aston Villa,Wigan,"DW Stadium, Wigan",1,2010/11,2011-01-25
Aston Villa,Man City,1,0,Aston Villa,Man City,"Villa Park, Birmingham",1,2010/11,2011-01-22
Birmingham,Aston Villa,1,1,draw,draw,"St Andrews, Birmingham",1,2010/11,2011-01-16
